Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Rauch Yegor Ivanovich (Georg Adolf Dietrich)	14	6	1788	30	4	1864	Medic Surgeon	http://www.isaran.ru/?q=ru/persostav	______ ________ _________	15.12.1818	02.04.1899	_______, _________, __________, __________
Remusat Jean-Pierre Abel-	5	9	1788	4	6	1832	Orientalist and Sinologist	http://www.isaran.ru/?q=ru/persostav	______ ____ ___________	31.08.1858	23.03.1944	_______, _________, __________
Dmitri Ivanovich Sokolov	1	7	1788	19	11	1852	Geologist, mineralogist, teacher	http://www.isaran.ru/?q=ru/persostav	______ _____ ____________	08.05.1961		__________ _ _______ ______________ __________
Sabin (Sabin) Sir Edward	14	10	1788	26	6	1883	Physicist, mathematician, traveler	http://www.isaran.ru/?q=ru/persostav	_______ _____-____	28.08.1796	19.10.1878	_________
Thomsen Christian Jurgensen	29	12	1788	21	5	1865	Archaeologist	http://www.isaran.ru/?q=ru/persostav	_______ ______ ( Bjorken James Daniel)	22.06.1934		_____-________, __________ _ _______ _______ ______________
Freytag Georg Wilhelm Friedrich	19	9	1788	16	11	1861	Orientalist and Arabist	http://www.isaran.ru/?q=ru/persostav	______-__________ _______	19.02.1900	17.01.1975	_______, ________, _______ ________ _________
Arsenyev Konstantin	12	10	1789	29	11	1865	Geographer, statistician, historian	http://www.isaran.ru/?q=ru/persostav	________ ______	03.10.1800	17.01.1891	_______ _ _______________ _______
Hamaker Hendrik Arent	25	2	1789	7	10	1835	Orientalist	http://www.isaran.ru/?q=ru/persostav	_____ (_____) ______ ___, _______	13.02.1743	19.06.1820	__________, ______________
Gulyanov Ivan	1	7	1789	4	1	1842	Orientalist and Egyptologist	http://www.isaran.ru/?q=ru/persostav	___ ____ __________ (____ _____), ___	17.02.1792	16.11.1876	__________________
Zagoskin Mikhail	14	7	1789	23	6	1852	Writer	http://www.isaran.ru/?q=ru/persostav	_____ ______ _____	19.07.1837	08.04.1898	__________-____________
Carl Gustav Carus	3	1	1789	28	7	1869	Naturalist and physician	http://www.isaran.ru/?q=ru/persostav	_____ _____ _________	03.04.1821	10.05.1896	_______
Augustin-Louis Cauchy	11	8	1789	23	5	1857	Mathematician	http://www.isaran.ru/?q=ru/persostav	__________ (__________) _____ ________ (Bulfinger Georg Bernhard)	23.01.1693	18.02.1750	_________, _____, _______
Raoul-Rochette Desiree-Raul	8	3	1789	8	9	1854	Archaeologist	http://www.isaran.ru/?q=ru/persostav	____ ______ ______	24.12.1766	25.11.1834	________
Remon Sarko Sarko or del Valle and Antonio Remon-Hyuet	1	7	1789	20	4	1866	Engineer	http://www.isaran.ru/?q=ru/persostav	______ (______, ______) ______ (Burger Michael)	01.07.1686	22.07.1726	_____, _____
Chertkov Alexander D.	19	6	1789	10	11	1858	Historian, archaeologist, numismatist	http://www.isaran.ru/?q=ru/persostav	______ ____	12.08.1801	28.05.1852	__________
Schubert Fedor	12	2	1789	3	11	1865	Astronomer, surveyor, numismatist	http://www.isaran.ru/?q=ru/persostav	______ ____-___ _______ __, ____ (Buffon,Georges Louis Leclerc,comte, de)	07.09.1707	16.04.1788	__________________
Adlerberg (1st) Vladimir Fedorovich, Earl	11	11	1790	8	3	1884	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ _____	03.06.1837	03.05.1908	_______-_______
Vaillant Jean-Baptiste Philibert	6	12	1790	4	6	1872	Sapper	http://www.isaran.ru/?q=ru/persostav	_____ ____	03.05.1848	03.02.1920	______, ______
Sergei Davydov, Prince	20	10	1790	17	3	1878	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ _______ _________	16.09.1916	31.07.2013	__________ _ _______ ________, ____________, _____________ _ __________ ____________ ___________ _________
Kovalevsky Yevgraf Petrovich	10	12	1790	18	3	1867	Geologist, ethnologist, a mining engineer	http://www.isaran.ru/?q=ru/persostav	__________-______ _______ _________	02.11.1864	18.06.1937	______, __________
Meinecke Johann Albrecht Friedrich August	8	12	1790	12	12	1870	Philologist, teacher	http://www.isaran.ru/?q=ru/persostav	_____ ____ (______) __________	22.12.1746	14.06.1820	_________, _______
Mikhailovsky-Danilevsky Alexander	26	8	1790	9	9	1848	Military historian, writer	http://www.isaran.ru/?q=ru/persostav	___ ______ ______	24.11.1785	03.08.1867	_______-_______
Overmeer-Fischer Johann Friedrich	1	7	1790	15	9	1848	Orientalist	http://www.isaran.ru/?q=ru/persostav	_____ ______ ______	25.08.1717	01.11.1789	________ _ ______
Parry (Perry) William Edward (William Edward Parry)	19	12	1790	8	7	1855	Hydrograph. Rear admiral and Arctic explorer.	http://www.isaran.ru/?q=ru/persostav	____ _____ ____	03.08.1915	01.07.1995	_____-_______, __________ _ _______ ___________ _ _______ _________ __________
Champollion Lejeune (Jr.), Jean-Francois	23	12	1790	4	3	1832	Egyptologist	http://www.isaran.ru/?q=ru/persostav	________ _____ (____) __________ ___	30.05.1815	01.04.1904	_______, __________-____________
Shira-Shikhmatov Plato A.	18	11	1790	5	5	1853	Writer archaeographer	http://www.isaran.ru/?q=ru/persostav	________ ____ ______ (_________ _______)	08.06.1760	17.11.1835	________
Aksakov Sergei T.	20	9	1791	30	4	1859	Writer	http://www.isaran.ru/?q=ru/persostav	_______ _________ _____________	27.05.1922	12.10.1983	__________ _ _______ __________ _ _________ __________
Bonsdorf Adol'fovich Peter (Peter Adolf) background (Bonsdorff Petr-Adolf)	27	10	1791	11	1	1839	Chemist	http://www.isaran.ru/?q=ru/persostav	_______ _______ ________	25.11.1887	26.01.1943	______, _______, _______, ___________
Franz Bopp	14	9	1791	23	10	1867	Linguist, orientalist Sanskritist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	30.05.1918	15.12.1984	__________ _ _______ _______________, ___________ _ _____________
Vaclav Hanka	10	6	1791	12	1	1861	Slavic scholar, writer	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	24.03.1891	25.01.1951	_____, __________ _ _______ ______
Edward Collins Davidovich (Edward Albert Christoph Ludwig)	3	7	1791	4	8	1840	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ _______ _____________	10.10.1948		__________ _ _______ ________ _ ________ ____, ________________, __________________, ______________ _____________
Ernst Heinrich Friedrich Meyer	1	1	1791	7	8	1858	Botanist	http://www.isaran.ru/?q=ru/persostav	______ ________ (Wagner Albrecht)	13.02.1941		_____, __________ _ _______ ______ _______ _______ _ ____________ ______
"Parrot Johann Jacob Friedrich Wilhelm (Ivan Ye Parrot); (Johann Jakob Friedrich Wilhelm Parrot)"	14	10	1791	3	1	1841	Naturalist, physiologist, pathologist, physician, physicist	http://www.isaran.ru/?q=ru/persostav	______ _______	21.03.1797	19.12.1861	______, ___________
Severin Dmitry Petrovich	1	7	1791	24	1	1865	Diplomat	http://www.isaran.ru/?q=ru/persostav	______ _______ ________	18.07.1829	21.03.1907	______, ________
Michael Faraday	22	9	1791	25	8	1867	Physicist and chemist	http://www.isaran.ru/?q=ru/persostav	______ _______ ________ ______ _______	30.06.1805	13.05.1864	________ _ ______
Johann Franz Encke	23	9	1791	26	8	1865	Astronomer	http://www.isaran.ru/?q=ru/persostav	__________ _________ __________ (__________ _______)	03.08.1846	02.11.1912	________
Babedzh (Babbage) Charles (Charles Babbage)	26	12	1792	18	10	1871	Mathematician	http://www.isaran.ru/?q=ru/persostav	_________ _____ ______________	10.07.1921	28.10.1996	__________ _ _______ ______ _________ __________ _ _____________ _____, ____________ _______ __________, ________ _____________ __________ _ ____________
Karl Baer Maksimovic (Karl Ernst), background	17	2	1792	16	11	1876	Naturalist	http://www.isaran.ru/?q=ru/persostav	_________ ___ ___________	06.12.1920	08.09.1989	__________ _ _______ ___________
Weiss Fedor (Johann Friedrich)	25	2	1792	5	8	1869	Medic, a specialist in the simplest organisms	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	20.06.1944		__________ _ _______ __________ ________ __________
Vyazemskij Peter A.	12	7	1792	22	11	1878	Poet, critic	http://www.isaran.ru/?q=ru/persostav	_________ ______ ________	19.09.1908		_____-________, __________ _ _______ _________ ______ ____________ ______, _______ ______, _________ _______________ _ ______ ___________ _______
John Frederick William Herschel	7	3	1792	11	5	1871	Astronomer	http://www.isaran.ru/?q=ru/persostav	_____ ___-______-_______	06.12.1790	04.06.1872	_______ _______
Kalaidovich Konstantin Fedorovich	19	5	1792	19	4	1832	Historian archaeographer archaeologist	http://www.isaran.ru/?q=ru/persostav	_______ ___ __________	02.03.1776	06.09.1816	__________________, _________, ________, __________ _ _______ ________
Catenin Pavel	11	12	1792	23	5	1853	Poet, critic	http://www.isaran.ru/?q=ru/persostav	______ ______ _________	15.01.1931	28.07.2010	__________ _ _______ ________________ _ __________ ____ ______________ _______
Knyazhevich Alexander Maksimovic	11	10	1792	2	3	1872	Statesman	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	21.06.1917	19.06.1975	__________ _ _______ ________
Kozegarten Hans Gottfried Ludwig	10	9	1792	18	8	1860	Orientalist and Arabist and historian	http://www.isaran.ru/?q=ru/persostav	________ ____ _______ _______	18.06.1874	14.04.1954	__________-_______
Johann Georg Christian Lehmann	25	2	1792	12	2	1860	Botanist and taxonomist	http://www.isaran.ru/?q=ru/persostav	_________ ______ ________ (Wallerius, Johan Gottschalk)	11.07.1709	16.11.1785	_____, _________ _ _________
Lihtenshtedt Jeremiah Rudolph	20	5	1792	4	12	1849	Medic pediatrician	http://www.isaran.ru/?q=ru/persostav	________ ____ _______ (______)	03.03.1928		______, __________, ___________
Maciejewski Vaclav Alexander	1	7	1792	28	1	1883	Historian, historian of law	http://www.isaran.ru/?q=ru/persostav	______ ____ _____________	22.09.1815	27.01.1890	_______________ _______, ________
Murchison (Merchison) Roderick Impey, Sir, 1st Baronet (MURCHISON, Roderick Impey, Sir, 1st Baronet)	19	2	1792	22	10	1871	Geologist	http://www.isaran.ru/?q=ru/persostav	_________ ______ _________ _______	06.10.1836	23.01.1921	______
Johann Heinrich Muller	14	2	1792	14	3	1867	Orientalist, historian and geographer	http://www.isaran.ru/?q=ru/persostav	_______ _____ (_____) ________	26.07.1863	22.01.1957	__________ _ _______ __________ __________
Nils Gustaf Nordenskiold	12	10	1792	21	2	1866	Chemist, geologist, mineralogist	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________	20.05.1898	15.12.1941	_____, __________ _ _______ ________
Martin Ohm	6	5	1792	1	4	1872	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ________	20.07.1860	04.05.1937	______, ___________
Panayev Vladimir Ivanovich	6	11	1792	20	11	1859	Writer	http://www.isaran.ru/?q=ru/persostav	_______ ____ _____________	03.03.1888	01.08.1947	_________, __________ _ _______ ________
Perovskiy Lev, Earl	9	9	1792	10	11	1856	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ __________ ________	19.12.1931		_________, __________ _ _______ ______ _________ _ __________, _______________ _____________ _________, ______________ _______ ________ _________ ____ _ ______.
Pletnev Petr	10	8	1792	29	12	1865	Writer, critic	http://www.isaran.ru/?q=ru/persostav	___ _______ (Wang Dianzuo)	23.03.1934		____________, __________ _ _______ _______ __________ ______ ______, ____________ ___________ __________
Shoduar Stanislav Ivanovich (Johan) de	1	7	1792	20	8	1858	Archaeologist, numismatist	http://www.isaran.ru/?q=ru/persostav	___-____ (_____) __ (___) ______	08.09.1856	25.04.1935	______
Yartsov Januarius Osipovich	15	4	1792	3	12	1861	Linguist, orientalist Sanskritist	http://www.isaran.ru/?q=ru/persostav	___-____ _______ (_______ __________ )	04.10.1880	25.03.1941	_______-_______
Berednikov Yakov Ivanovich	7	10	1793	28	9	1854	Historian archaeographer	http://www.isaran.ru/?q=ru/persostav	___-______ ______, _____	07.05.1700	18.06.1772	_____, _____
Pavel Gan, Baron	27	7	1793	1	8	1862	Statesman, diplomat	http://www.isaran.ru/?q=ru/persostav	___-_____ ______-______-____	19.04.1839	28.04.1914	_______
Hauy (Ayui) Just (Just) V.	1	7	1793	1	8	1848	Physicist, engineer	http://www.isaran.ru/?q=ru/persostav	_______ _________ ________	11.08.1916	25.01.1994	__________ _ _______ ________ _________ _ ______ __________
Mikhail Dmitrievich Gorchakov, Prince	1	7	1793	18	5	1861	Military leader	http://www.isaran.ru/?q=ru/persostav	__________ ____ _________	24.11.1822	16.02.1904	_______________ _ _______ _______
Koeppen Petro	19	2	1793	23	5	1864	Economist, statistician, bibliographer, ethnographer	http://www.isaran.ru/?q=ru/persostav	____-____ ____ _______	30.08.1852	01.03.1911	_____
Clot Bey Antoine-Barthelemy	7	11	1793	28	8	1868	Medic	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	16.02.1935		__________ _ _______ ____________ ________.
Lachmann Karl Konrad Friedrich	4	3	1793	13	3	1851	Scholar	http://www.isaran.ru/?q=ru/persostav	________ _______ _______	22.09.1969		__________ _ _______ __________ ____ _ __ _____________ _ __________
Napiersky Edward Y. (Charles Edward) background	21	5	1793	2	9	1864	Writer, historian	http://www.isaran.ru/?q=ru/persostav	_____ _______ __________	06.11.1879	07.10.1964	_________
Martin Heinrich Rathke	25	8	1793	15	9	1860	Anatomist, physiologist and embryologist, medic	http://www.isaran.ru/?q=ru/persostav	_________ _____ _________	22.09.1717	13.12.1783	________
Snegiryov Ivan	23	4	1793	9	12	1868	Historian, archaeologist, ethnographer	http://www.isaran.ru/?q=ru/persostav	________ ______ ________	20.01.1902	26.05.1977	______, __________ _ _______ ________ _ _______ _____________
Vasily Yakovlevich Struve (Georg Wilhelm Friedrich)	15	4	1793	11	11	1864	Astronomer, surveyor	http://www.isaran.ru/?q=ru/persostav	___________ ______ __________	17.08.1945		__________ _ _______ ________ _ __________ ________ _______ _______
Michelle shawl	15	11	1793	18	12	1880	Mathematician and geometer and surveyor	http://www.isaran.ru/?q=ru/persostav	__________ _______ _____________	14.08.1934		__________ _ _______ ___________, _____________ _____________ _ _________ ______
Charmoi Franzevich Franz (François-Bernard)	14	5	1793	9	12	1868	Orientalist and Arabist, Sanskrit	http://www.isaran.ru/?q=ru/persostav	________ _________ _____________	04.10.1867	30.05.1953	_______, _______, __________ _ _______ _______ ________ _ _______ _____
Beyer Johann Jacob (Johann Jakob Baeyer)	5	11	1794	11	9	1885	Mathematician, surveyor	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	17.02.1742	15.08.1807	_____
Fyodor Berg, von (Friedrich Wilhelm Rembert von Berg) (German Friedrich Wilhelm Rembert von Berg)	27	5	1794	6	1	1874	Military leader, surveyor, statistics	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	26.04.1939		__________ _ _______
Garcin de Tassy Joseph Eliodoro-Sazhes-Vertus	20	1	1794	2	9	1878	Orientalist and Arabist and Indologist	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	14.06.1938		__________ _ _______ ____________ ________ _ ________ ________ ______________ ____
Gasfort Gustav Hristianovich	1	4	1794	5	5	1874	Statesman and military leader	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	20.02.1818	27.04.1900	_______, __________-_______, ________, ____________
George Groth	17	11	1794	18	6	1871	Historian, politician	http://www.isaran.ru/?q=ru/persostav	________ ______ ___________	10.04.1956		__________ _ _______ _________, ______ ____________, ____________ _________, ______ _________ __________, _____________
Goebel (Goebel) Carl Christian Traugott Friedemann (Göbel or Goebel Karl Christian Traugott Friedemann)	21	11	1794	26	5	1851	Chemist, pharmacologist	http://www.isaran.ru/?q=ru/persostav	________ ________ ________	22.04.1937		__________ _ _______ _______ _______ ________ _ ____ ______ ___________ _____________ _______
Davydov Ivan	15	6	1794	15	11	1863	Educator, writer	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	01.04.1951		__________ _ _______ _____________ __________ _ ______________ __________, _______________ _____________ ____________ ___________ _______ _ _________ ________
Friedrich Christian Diez	15	3	1794	29	5	1876	Philologist	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	22.10.1929	20.07.1985	__________ _ _______ _________
Dondukov-Korsakov Mikhail	5	9	1794	29	8	1869	Statesman	http://www.isaran.ru/?q=ru/persostav	________ ____ _________	01.08.1925		__________ _ _______ __________ _____________, __________, __________, ___________ _ ________ ________
Peter Ivanovich Ivanov	1	7	1794	30	11	1864	Historian and archivist	http://www.isaran.ru/?q=ru/persostav	________ _________ __________	05.07.1946		__________ _ _______ __________ _______, _______________ __________ _ ______________ ___________
Cyber __August Eric	25	8	1794	29	3	1855	Physician, naturalist	http://www.isaran.ru/?q=ru/persostav	________ ____ ________	26.11.1928		__________ _ _______ _________ ________
Lappenberg Johann Martin	30	7	1794	28	11	1865	Historian	http://www.isaran.ru/?q=ru/persostav	________ ____ _________	10.04.1929		__________ _ _______ __________
Martius Carl Friedrich Philipp von	17	4	1794	13	12	1868	Botanist	http://www.isaran.ru/?q=ru/persostav	____________ _______ ___________	21.01.1838	25.05.1899	_______-___________
Mitscherlich (Mitscherlich) Eylhard	7	1	1794	28	8	1863	Chemist	http://www.isaran.ru/?q=ru/persostav	_____ ________ __________	02.11.1941		__________ _ _______ ____________ _____ _ __ __________
Christian Pander Ivanovich (Christian Heinrich)	12	7	1794	10	9	1865	Zoologist, embryologist, paleontologist, anatomist	http://www.isaran.ru/?q=ru/persostav	_________ _______ _____________	30.03.1902	24.11.1981	__________ _ _______ ________ _ ________ _______ __________
Ivan Mikhailovich Simonov	20	6	1794	10	1	1855	Astronomer	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	17.09.1934	16.08.2007	__________ _ _______ _____________ _______ ____________ _ ______________ _______
